85,curiosidades,1/5
85,musica,0/5
ugv,curiosidades,4/5
GV,curiosidades,1
GJV,curiosidades,1
jgv,curiosidades,2
bru,curiosidades,2
hg,musica,1
Arthur,musica,3
Arthur,logica,4
Arthur,musica,3
bru,curiosidades,3
rai e gui,logica,3
j,curiosidades,0
df,curiosidades,0
t,curiosidades,0
5,curiosidades,1
fd,curiosidades,1
xfb,musica,0
d,musica,0
f,curiosidades,0
e,curiosidades,0
srg,curiosidades,0
nj,curiosidades,0
894,musica,0
4,musica,0
49,curiosidades,0
s,curiosidades,0
5,curiosidades,0
8,musica,0
5,musica,0
5,musica,0
5,curiosidades,0
brunaaaaaa,musica,0
fa,curiosidades,1
84,curiosidades,0
vh,curiosidades,0
